from,in,label
3047467,4742757,0
1360136,47287,0
211108,2712233,0
4278927,31011,0
320294,395986,0
1238952,1284732,0
3186616,221808,0
3512622,3659647,0
4765096,2792763,0
3358695,612773,0
1088821,3420526,0
809976,3620029,0
2013724,4036455,0
3330774,578962,0
2117022,2314209,0
4549478,182260,0
3980819,1988243,0
2697526,3278063,0
408673,1209697,0
3532020,3297630,0
3864517,3875432,0
1353745,1422781,0
3448524,1333866,0
2897599,1196998,0
2999944,3965113,0
4351315,452189,0
1483926,2723539,0
2483385,3188622,0
292770,3443917,0
1390479,261941,0
3611945,4837678,0
3341999,3888281,0
1914695,249330,0
4135936,2994515,0
2416250,2811627,0
993861,3429833,0
2872876,4207402,0
2783254,4472230,0
1212829,3155282,0
1967434,3175646,0
2906872,3273780,0
3953326,4291162,0
41249,4337916,0
4307148,932687,0
2237067,1414631,0
4261346,1409297,0
3256608,1437262,0
728089,3398965,0
4251305,3821219,0
328045,4026055,0
3965116,2225556,0
1518492,1927455,0
1338316,2537164,0
1204929,3832930,0
4748960,3439181,0
4665243,773777,0
2227398,4045757,0
2488847,1183391,0
3015392,789776,0
1147635,4686923,0
1665163,59183,0
4683167,4113314,0
897954,3967493,0
43156,2027434,0
2613013,2302310,0
1884216,75263,0
4157649,2976824,0
768950,650132,0
3542452,1897981,0
1220347,1943043,0
4035923,3012919,0
2373125,3224076,0
1085226,1002101,0
3365447,2978450,0
4196426,3950771,0
1918034,3136822,0
2327099,3013305,0
3741210,1294078,0
2885811,2042894,0
922536,3220442,0
3260793,3899179,0
4747063,1850991,0
2610581,4082551,0
1951663,2638418,0
4344612,13767,0
770873,3957460,0
2660407,3307363,0
1907386,3618436,0
407935,4826659,0
339201,3409992,0
784151,2210084,0
1680251,2741494,0
237083,1960700,0
3210084,4484356,0
37805,1087634,0
1658474,12542,0
3102,3655868,0
1762476,3198112,0
345572,2259200,0
239517,2911423,0
868114,2289008,0
202431,1190320,0
1140047,3178518,0
1737186,4808147,0
2680470,1691613,0
4197408,1009498,0
4694249,885253,0
3981325,1044777,0
4269775,3755500,0
3164454,658924,0
2815160,1959257,0
3806764,2084318,0
3441693,200619,0
4634402,3396213,0
3741982,1878909,0
3602814,2022153,0
2124136,4003312,0
3985391,1182729,0
2378348,3019707,0
4382042,734477,0
4343662,1029751,0
494902,1301135,0
3930908,1573970,0
4553150,3641005,0
365256,522314,0
1125494,2037171,0
3717992,1879032,0
914812,4326188,0
3569583,2402433,0
1611839,1369115,0
3125916,4675545,0
2990823,3675437,0
3278417,3681750,0
564748,1229642,0
1306695,3305581,0
3891299,4534845,0
1761775,3085970,0
4778249,3451066,0
34734,1144051,0
2588991,3188924,0
4562688,4506378,0
554027,656690,0
1710911,3517707,0
3019995,2617947,0
702237,194908,0
2005889,233947,0
1286640,3907009,0
2167557,924302,0
1841538,3210466,0
3221739,4251456,0
2850222,1915173,0
2213604,746394,0
978094,3642745,0
261071,997455,0
968293,2884180,0
1590007,4544262,0
2841600,4323421,0
1354117,4156175,0
567612,2109930,0
4785736,874014,0
4367956,629834,0
1075936,4070760,0
1873944,2913538,0
812150,4679076,0
1820036,1486386,0
1930669,3347328,0
1689509,3682467,0
2922724,1325077,0
4590896,1684371,0
1812510,3906825,0
2711769,294515,0
709417,118448,0
1396557,2309429,0
3767236,745818,0
3478066,4217197,0
4461916,3432415,0
3883577,2719004,0
2021989,3665455,0
192143,68962,0
2258998,638991,0
2177446,470498,0
3259931,3511437,0
2356159,1891126,0
2126243,2623524,0
4469407,4106207,0
3764905,1030824,0
3553870,3141289,0
430203,1937871,0
4004049,3218714,0
680325,2586186,0
4408079,3472083,0
2068073,4192904,0
2362993,2252770,0
3390815,3619721,0
3948696,489517,0
2090585,1267941,0
1856470,2523621,0
2041353,4697389,0
2079982,4395758,0
2511439,176452,0
3866125,1675918,0
523167,3456450,0
1782491,3228001,0
4472956,4413512,0
4137113,864327,0
1063435,721094,0
2038682,3320775,0
642862,1323009,0
2035668,1760742,0
380389,450134,0
3779997,1128175,0
113177,1239297,0
2946084,3002949,0
3078835,2494380,0
1120866,188760,0
4021905,1674428,0
3972232,2528491,0
3694111,1168719,0
3988293,2482190,0
3193592,3320729,0
4737129,1973343,0
1583852,3618207,0
1815168,2224300,0
4275312,1176630,0
4340126,4460489,0
3635819,2530433,0
1816828,1551918,0
1456148,3023087,0
138329,173232,0
1404908,2603845,0
4192680,3047396,0
2975590,736616,0
119732,4460167,0
2286255,2959405,0
1749988,3220822,0
2782861,1585990,0
2301729,4077253,0
2261355,653476,0
3847504,1338645,0
903238,4298575,0
3533939,1334176,0
943089,934804,0
2467983,838924,0
2316299,928106,0
124359,1161782,0
1030679,3423407,0
3230140,4037712,0
226893,2628058,0
3288672,4858730,0
1888396,408583,0
231615,395673,0
3350357,1111376,0
3411608,3395046,0
1066308,1739076,0
4836461,3939314,0
3381771,75442,0
1181531,4255564,0
1128960,960638,0
2712204,1219374,0
678393,2646841,0
3680557,3218681,0
3383162,4548379,0
4026828,4624493,0
3572473,4350760,0
1205637,3352181,0
1243105,591120,0
288959,3221620,0
4741295,972065,0
571381,4398644,0
2539298,2954747,0
2677461,3915368,0
1948637,4212562,0
3070111,4297671,0
3987052,930730,0
3086927,3650806,0
2045935,4578069,0
4259805,936595,0
337719,4780709,0
3068190,1508418,0
2859767,2258728,0
4077242,4052880,0
3515573,10935,0
1981037,4004849,0
2887863,1348184,0
4411727,1383202,0
3231878,2414103,0
228967,3810427,0
4298331,3603185,0
3092326,3195911,0
2476468,2018451,0
1773099,2138402,0
2028346,4500162,0
1228626,2701585,0
2043254,1207356,0
1522713,3002598,0
4536711,4166900,0
3268905,2293713,0
2969136,3411755,0
2645135,173954,0
1652563,1371995,0
4674289,3844782,0
4206666,2413954,0
2635543,3232702,0
456780,964976,0
492584,2807201,0
2591064,4596593,0
3480159,4040918,0
3145526,1848704,0
752196,672576,0
765434,4245733,0
147050,4303930,0
800904,2617994,0
767376,3283263,0
1331657,1541018,0
1895958,1148439,0
1091336,1915219,0
657982,1143799,0
4024371,1058612,0
2272070,684201,0
2342676,1850307,0
1737549,4844273,0
1066666,1220324,0
344472,4222161,0
2655880,3712706,0
1941481,2309733,0
1583311,842074,0
2283018,2958035,0
4633621,3292241,0
798646,4336138,0
1161649,3865600,0
2194440,4497613,0
1636464,1490169,0
574060,2223489,0
3695130,2743507,0
3155521,4293905,0
430024,2888393,0
3271721,3220863,0
4538954,4775063,0
3488496,1762736,0
3931839,1706634,0
1408690,270797,0
1690402,1954626,0
4125402,762165,0
4305064,1092406,0
4838770,4360353,0
3620829,3312641,0
2198607,3953874,0
2897209,1727278,0
58860,1202495,0
1984754,3806257,0
2315801,2432854,0
3289868,2760224,0
1044267,4163622,0
3108557,741196,0
149554,4067805,0
2373242,1207766,0
1221287,971024,0
2685983,634048,0
1679645,2476261,0
297617,1197252,0
3698339,646784,0
4418402,1577308,0
4104370,2935368,0
1303135,1246583,0
4803511,3601997,0
2221924,1775023,0
4498202,3555232,0
1505535,321400,0
2507172,3944295,0
3075862,826472,0
2060554,4365640,0
2181403,2154662,0
4718517,3157220,0
1340990,4166346,0
2040037,110375,0
1899801,1204115,0
1487404,569703,0
800775,2260992,0
3924472,4841866,0
3521937,348159,0
626977,1185805,0
3787535,491679,0
2130193,3420822,0
1780889,747813,0
4386316,1786761,0
3530187,4850634,0
1083556,2784079,0
4777164,4473436,0
3256784,1681355,0
2501813,796386,0
2569226,710387,0
3086357,1215995,0
3240667,3752227,0
435949,2393624,0
4281481,3555664,0
4341589,1632891,0
3228719,2156690,0
1659599,4066772,0
3949619,2220793,0
4323390,3390325,0
1113249,4172567,0
130387,1742721,0
2842801,2195416,0
3658079,2601615,0
2771793,3441881,0
3440451,3058744,0
4677799,3798615,0
1991820,3299295,0
480569,2485800,0
2336736,4419450,0
1043735,4680025,0
2830125,1126,0
1211720,12762,0
2833145,3794458,0
1664271,2036428,0
3869027,2193852,0
4578997,1436191,0
3772570,3358154,0
124605,866156,0
39719,898742,0
2621184,4569887,0
2526971,776144,0
858631,4569763,0
2062210,933347,0
1407674,3689788,0
4789413,228616,0
4703643,3175198,0
842588,2598829,0
695116,3199712,0
1750368,2151609,0
3884896,4233552,0
4695501,3087158,0
1565084,3569036,0
1960466,2376414,0
2909277,4304325,0
2632687,3966988,0
2890603,2288540,0
3123196,3978444,0
2401796,2073621,0
176285,854930,0
4628164,1114813,0
276172,4123372,0
3698211,3084804,0
99916,1655891,0
571439,4113387,0
1103311,736128,0
4353788,4646872,0
3590938,191436,0
4568048,4002838,0
2875027,24116,0
1658289,2476025,0
3513826,3765455,0
4310297,2378595,0
3178571,3460409,0
5527,3648394,0
1291912,3347771,0
3619998,3312542,0
2550595,3512651,0
2603511,552177,0
1902176,2779989,0
1938092,3160264,0
4170071,579865,0
268311,1919608,0
1501452,83144,0
3694460,2613162,0
4457120,317589,0
1337097,4016762,0
1324131,894318,0
979124,3972842,0
2372518,2560722,0
271006,2241430,0
2463820,1843446,0
4598613,1726803,0
3167674,570787,0
3556342,339248,0
2471199,2590676,0
277627,361581,0
1307229,1419694,0
3940397,681553,0
4703586,1132091,0
852484,644513,0
4087181,3630850,0
673615,965787,0
3972678,3738686,0
4206142,1409733,0
3541116,4290318,0
2379213,2960358,0
4239648,3134437,0
10392,1200603,0
1148010,1562085,0
971669,4106660,0
4059282,1055283,0
1164770,342484,0
2713839,1678606,0
1589796,970894,0
283096,3532693,0
667419,2809565,0
2236967,1901951,0
1503403,2125619,0
3097896,4393821,0
3422646,2392066,0
357617,2164726,0
1442703,3393508,0
1964650,4602269,0
3807436,4586391,0
3771846,2808118,0
981730,140079,0
124055,1578672,0
4146753,3467701,0
3290892,1356845,0
1800830,2119790,0
2523366,1548394,0
828335,1293712,0
2099599,1479496,0
3338087,2152584,0
4375582,3533113,0
3893130,1006352,0
2155947,2117699,0
2389892,3149213,0
4310499,195568,0
4212112,1702850,0
3538967,2283820,0
180841,3477052,0
245925,4134076,0
3271683,4475551,0
2933335,4607838,0
3957324,4395003,0
3732129,4663096,0
3983770,4849990,0
2984221,1763687,0
559394,1838823,0
3801351,1079742,0
4120920,2861698,0
376831,3026358,0
4283987,2212937,0
3303761,4488789,0
806941,2572934,0
1088309,4227085,0
1171546,1219713,0
535615,2851835,0
1632122,371376,0
3949949,654086,0
4812286,4391797,0
1135658,4724042,0
2166692,679063,0
1095373,3925168,0
2766852,866127,0
844553,923218,0
1514086,59644,0
3985025,3397030,0
3394043,1794735,0
766120,3504435,0
2238188,4079429,0
3623369,4133909,0
3160577,1219915,0
3600506,1725426,0
3557445,1611238,0
2699876,3044054,0
2882252,2063944,0
1837892,4170989,0
1294771,812847,0
4502040,3730775,0
1368815,2284305,0
943311,3177949,0
2701636,2749293,0
12611,1587312,0
2536926,1564917,0
2019458,665713,0
4392927,2177730,0
4065435,1181220,0
1179908,484067,0
948268,1268304,0
686507,4837810,0
2534451,3380279,0
1443673,4454869,0
3796749,2238330,0
1486480,1357627,0
2785133,4331470,0
3559570,2535746,0
546772,1054039,0
3690774,3642397,0
834935,3025930,0
2704155,1123906,0
1672112,1986956,0
4036546,4230413,0
2264462,2482959,0
152889,1511593,0
2278247,1641736,0
923984,2615422,0
3152335,3521792,0
2663377,2834429,0
4147190,1214943,0
4359001,218541,0
4041936,1172771,0
11730,705041,0
1160301,917628,0
461051,2693885,0
2615834,1625661,0
526055,401964,0
1927315,1487626,0
3018600,3211273,0
4447339,3088343,0
3512520,1759945,0
1870398,4772802,0
1287368,1687511,0
531924,4856229,0
1084775,2654224,0
3795044,2871008,0
4120162,2765654,0
2233265,4331764,0
4481319,2785704,0
3385576,2351475,0
119724,1795635,0
1088923,1500632,0
4004077,1596865,0
1432879,1618695,0
653721,2270635,0
1374182,1551533,0
4068110,1018367,0
4037121,2081350,0
3640847,1540923,0
974991,456327,0
4327541,320724,0
4722315,1760459,0
837776,803647,0
3159708,4096087,0
4810536,4381136,0
1177270,3509531,0
801518,1581153,0
1092635,1492603,0
2228939,2312113,0
3737916,2818842,0
4582187,839203,0
96621,522661,0
3650745,2082294,0
1039408,2753229,0
549554,4040912,0
2055305,3218001,0
2781403,1417835,0
753235,4700505,0
2315952,3843659,0
52142,1339604,0
1184794,4679238,0
3809862,567128,0
3927697,2375930,0
244459,3392996,0
199434,3822112,0
2521451,2764542,0
58028,2723293,0
1302105,3473757,0
1496541,4845446,0
3533105,4294348,0
1413662,691483,0
779462,2032583,0
942542,1696373,0
232437,3155962,0
2978337,2119624,0
321931,2613307,0
3739426,3636379,0
1869241,3974162,0
1798287,4720443,0
2926697,2463190,0
996374,2956967,0
2531680,2144684,0
232304,651426,0
644847,4776863,0
2096873,4493714,0
565364,1811360,0
2718030,3797523,0
1422253,1338792,0
405588,3673380,0
4501509,510684,0
4140620,614605,0
1577950,1437285,0
735205,1261172,0
6890,2805200,0
1897367,2548395,0
102174,4814442,0
3461212,2969916,0
594634,2757514,0
842614,2519878,0
2953697,321732,0
121622,3359450,0
71089,3623635,0
2465421,35410,0
1472240,4805767,0
566631,114854,0
366838,762463,0
901876,250087,0
343027,3309372,0
220624,2674682,0
3522931,4351930,0
1686035,4310789,0
4130941,4302532,0
400082,1677536,0
1543845,4763953,0
299303,1677968,0
999770,2463417,0
2714076,2767831,0
2556433,1206985,0
1514130,4835040,0
3481991,2312816,0
927036,4771860,0
4174930,1361530,0
3187613,1862054,0
1079925,4698417,0
1910245,1810468,0
4078838,1881115,0
4796323,656335,0
2544535,236338,0
2677131,954537,0
1100613,4431414,0
1507446,4584279,0
3490592,2150948,0
110732,3073858,0
1155224,373196,0
3730819,2265382,0
3496012,503071,0
2090232,2233527,0
1620676,2828861,0
881041,2248938,0
4127835,3113036,0
2464810,487655,0
3012955,2387969,0
1951196,2023173,0
1671506,1577188,0
3174692,1020718,0
4487338,2109210,0
3277207,225352,0
4475987,366850,0
918724,2130203,0
2521649,719893,0
877282,4195345,0
3541596,4637659,0
2960522,1505486,0
2470184,2072794,0
4521378,2017844,0
651685,4006405,0
1616802,3005610,0
1178239,3888790,0
2946419,4250043,0
1087774,525951,0
2613668,4061082,0
556458,3888844,0
1489072,571617,0
947125,3304223,0
899600,3567954,0
2477191,4539872,0
261132,4748237,0
3459457,4393686,0
3085145,1906993,0
2058556,1367803,0
909260,978672,0
2482632,3005930,0
4071809,4284590,0
2065339,3624567,0
182568,2808056,0
1256776,862806,0
4306539,2638251,0
2079343,857240,0
4005708,4387160,0
1751330,346692,0
4296738,2852639,0
3776218,1067980,0
320811,812455,0
3684693,2357288,0
2034255,2960064,0
3147381,1688993,0
146122,3303477,0
3359631,184633,0
3641277,1202720,0
2448003,1652492,0
4741548,695062,0
1870765,3631731,0
3865799,2307118,0
91150,1324077,0
4797165,416696,0
455493,1882670,0
2142186,2618036,0
4746272,3141877,0
4499505,2629849,0
4170319,4243123,0
419034,2044955,0
1089754,1786277,0
348407,4694428,0
767885,3638067,0
3801354,3774134,0
4379914,1767754,0
1063116,2512299,0
2075175,3293836,0
2579901,1014785,0
2634029,4809278,0
2144878,4309440,0
2241472,3793438,0
3746994,866144,0
2609230,2706933,0
639516,3655094,0
909596,2760516,0
42065,153440,0
3880511,924172,0
4191303,1984062,0
2301371,4317645,0
2528178,2215472,0
1684456,3367041,0
2866575,764784,0
1288222,3229589,0
3828254,2199999,0
3913069,2173150,0
4637072,438029,0
2788687,3019679,0
478352,3220327,0
2862300,1459801,0
371747,4534834,0
3765159,1457884,0
3010573,2471133,0
952242,399847,0
3187959,3734404,0
3178106,307847,0
2721486,213747,0
106420,3852159,0
2097531,1780080,0
1476995,3902493,0
861451,3357490,0
4714129,467671,0
2217382,878236,0
1150764,489839,0
88003,2161125,0
3549286,4400339,0
2389887,572414,0
2805039,1941347,0
396628,4361503,0
3209642,2673391,0
1702505,957886,0
252647,4519939,0
2021518,4798690,0
1507341,3747232,0
2201645,1442559,0
4729426,1384304,0
162483,348787,0
1566013,3417927,0
3097467,2417706,0
134064,1990169,0
83848,3083497,0
3081501,2871869,0
723773,4820742,0
542865,3434587,0
1574736,3027413,0
4824766,2116576,0
1260917,1785097,0
4398732,1556091,0
1131873,4241114,0
935751,2673457,0
1388277,3000417,0
2200069,3746796,0
1551246,3313147,0
3511403,3023144,0
817072,2661011,0
1255897,2176381,0
1504299,2819872,0
3754904,678694,0
2248767,2951300,0
1245260,3473077,0
13200,3066657,0
1144881,258718,0
438020,3257565,0
2427628,1672058,0
1923336,3388652,0
3566660,3382896,0
2600224,1476826,0
1022218,4227656,0
3768805,1335127,0
4825371,3271213,0
3838879,2630748,0
2619516,4761235,0
239636,4120296,0
1152703,2275404,0
1736571,3135696,0
130273,2406769,0
3620755,1900995,0
3245952,1116281,0
4645004,1673872,0
4736166,4029915,0
2893830,2597636,0
4183672,2183308,0
3331791,2022545,0
1533532,4165681,0
3825154,316759,0
2592974,2267391,0
1368039,1263956,0
2911715,1754404,0
4839691,1335334,0
1061113,2117149,0
2185749,2804612,0
4706744,4400836,0
474606,248972,0
2864537,3558046,0
701441,2097967,0
4575947,2884309,0
1260444,338332,0
77632,1057399,0
3241973,3062233,0
236421,3125398,0
4522067,932126,0
1619447,1771994,0
2707508,4655155,0
3375906,1210584,0
344221,696370,0
274108,2973370,0
864758,1152815,0
3226995,3651065,0
2353227,3511967,0
4272621,1958492,0
429123,4749380,0
907469,2226487,0
314100,838188,0
2541862,4786159,0
544429,811346,0
3284675,4028034,0
1251420,2723481,0
1887311,1094303,0
1996607,1156930,0
3998199,4589481,0
4628586,1972401,0
1824318,816238,0
2788662,1465297,0
2477694,855744,0
1598979,3797553,0
2942447,3607169,0
2199065,3276534,0
1402183,1097935,0
4543870,4111962,0
922073,1966410,0
2896379,4746531,0
4859657,2641631,0
212164,4799949,0
404739,447745,0
3414253,2522977,0
3800367,2781771,0
3204277,890566,0
116752,4410395,0
1780508,3455034,0
2345615,844862,0
908491,1515626,0
4652672,2005771,0
1940741,4052304,0
2180338,3356599,0
1712159,428608,0
4093905,630479,0
1916892,1091110,0
3303579,3843966,0
556655,2065681,0
1303842,3640680,0
2150250,1610271,0
4805612,1164677,0
404551,2572935,0
3240683,4024955,0
3826629,3530405,0
1940587,538200,0
2852202,2547752,0
2012710,4288541,0
2449450,3192676,0
1742174,800817,0
2544117,2510564,0
2034258,3427590,0
3509503,3899222,0
2053399,2303309,0
4385243,3058061,0
3292185,555109,0
3997085,3690998,0
811523,1397846,0
1010823,4396388,0
2236854,2222560,0
506919,3489162,0
3581589,3186143,0
3971646,4803013,0
118973,723179,0
4691035,1984648,0
1377296,2786628,0
3567013,1172236,0
4241645,2448415,0
1233709,1623997,0
2067217,1128297,0
2529884,4413211,0
170554,3196185,0
322783,1402049,0
219022,3876955,0
4270866,1947516,0
2171891,3162724,0
495829,3631442,0
4326163,794533,0
4392147,1825437,0
726653,1555965,0
311842,4419682,0
1479662,1345972,0
3609067,1667086,0
2522612,4462325,0
4854742,429506,0
458514,1929429,0
3815232,2366924,0
2340588,4400622,0
1096588,559674,0
1287998,1379475,0
1819613,4521725,0
2106646,2953072,0
4359703,529852,0
4829486,3527578,0
836173,3822198,0
1229884,3203439,0
1548645,3426044,0
4709114,285014,0
2335553,2371369,0
1183734,702110,0
4753287,3720324,0
4580820,2630437,0
369743,1845631,0
3728684,4253338,0
4645829,4528747,0
2380233,4662572,0
1728221,2224599,0
3074023,2386465,0
3221888,1102363,0
308609,1618295,0
3592043,3660269,0
1396809,866137,0
3078837,3515152,0
1933750,2254817,0
2763255,1638118,0
4764684,4762598,0
306168,4120586,0
2071485,1722502,0
2356978,1347934,0
1544916,3784745,0
1942216,366366,0
3321081,3333232,0
1220967,2417562,0
4759405,1711590,0
2500361,4078476,0
3206306,946714,0
3840347,3051376,0
3867746,1601043,0
2602663,2425878,0
831432,24640,0
1714613,4099737,0
4355489,3965944,0
36633,4402832,0
3815151,620453,0
1503154,671745,0
4751458,2854057,0
4514971,2469767,0
4136190,577040,0
3957544,2442734,0
586438,2585596,0
1766279,3510553,0
3887016,2950555,0
3711714,1214086,0
4040801,3029286,0
539930,2156772,0
4743133,1754843,0
1136207,4408648,0
