,Node_1,Node_2,Node_1_friends_number,Node_2_friends_number,number_of_common_friends,sum_of_friends,J_similarity,Preferential_Attachment
160,3096488,206779,0,0,0,0,0,0
161,1953397,1190238,0,0,0,0,0,0
162,1568600,3808831,0,0,0,0,0,0
163,1091841,234346,0,0,0,0,0,0
164,1745838,3038688,0,0,0,0,0,0
165,2454775,2485935,0,0,0,0,0,0
166,4640615,2742941,0,0,0,0,0,0
167,1543885,677875,0,0,0,0,0,0
168,2581698,1312003,0,0,0,0,0,0
169,3159056,1232511,0,0,0,0,0,0
170,1050555,1869128,0,0,0,0,0,0
171,2037078,1985224,0,0,0,0,0,0
172,1543037,2441584,0,0,0,0,0,0
173,388020,1109257,0,0,0,0,0,0
174,172382,3303443,0,0,0,0,0,0
175,2511437,4620253,0,0,0,0,0,0
176,3495946,1193560,0,0,0,0,0,0
177,3541575,2500040,0,0,0,0,0,0
178,2974299,709304,0,0,0,0,0,0
179,2080865,3731346,0,0,0,0,0,0
180,3097544,4439312,0,0,0,0,0,0
181,485340,3157738,0,0,0,0,0,0
182,3499940,2689983,0,0,0,0,0,0
183,3950091,763837,0,0,0,0,0,0
184,2323394,940855,0,0,0,0,0,0
185,2855380,4390166,0,0,0,0,0,0
186,1195942,2981038,0,0,0,0,0,0
187,3879188,725609,0,0,0,0,0,0
188,3767226,3875627,0,0,0,0,0,0
189,65235,1834875,0,0,0,0,0,0
190,1310477,3558523,0,0,0,0,0,0
191,3954682,776391,0,0,0,0,0,0
192,4174839,1949199,0,0,0,0,0,0
193,1013609,2265581,0,0,0,0,0,0
194,2152313,3342261,0,0,0,0,0,0
195,4413262,3323859,0,0,0,0,0,0
196,2377302,1644426,0,0,0,0,0,0
197,4447517,2089158,0,0,0,0,0,0
198,3446077,4559822,0,0,0,0,0,0
199,2451605,3710823,0,0,0,0,0,0
200,3118920,4766683,0,0,0,0,0,0
201,1034300,1010977,0,0,0,0,0,0
202,3925389,1170488,0,0,0,0,0,0
203,4694375,2507868,0,0,0,0,0,0
204,2970052,3965006,0,0,0,0,0,0
205,3482173,1828800,0,0,0,0,0,0
206,3724388,2518135,0,0,0,0,0,0
207,1197989,4156749,0,0,0,0,0,0
208,439612,1809539,0,0,0,0,0,0
209,84809,4419353,0,0,0,0,0,0
210,557480,682605,0,0,0,0,0,0
211,3030622,345424,0,0,0,0,0,0
212,1901588,1180107,0,0,0,0,0,0
213,1603938,884664,0,0,0,0,0,0
214,3640814,3866266,0,0,0,0,0,0
215,1241675,3752156,0,0,0,0,0,0
216,1237325,4396988,0,0,0,0,0,0
217,3725584,2929026,0,0,0,0,0,0
218,417696,3257695,0,0,0,0,0,0
219,3050183,478070,0,0,0,0,0,0
220,2495838,726702,0,0,0,0,0,0
221,4295962,2385921,0,0,0,0,0,0
222,3844451,452481,0,0,0,0,0,0
223,3612172,3813481,0,0,0,0,0,0
224,4112112,2137016,0,0,0,0,0,0
225,3990062,1807070,0,0,0,0,0,0
226,440849,1366148,0,0,0,0,0,0
227,2934353,32502,0,0,0,0,0,0
228,2431099,59811,0,0,0,0,0,0
229,1177819,534271,0,0,0,0,0,0
230,3588181,1863667,0,0,0,0,0,0
231,3326204,4678901,0,0,0,0,0,0
232,1853655,3805946,0,0,0,0,0,0
233,1617728,2847963,0,0,0,0,0,0
234,2676218,2708924,0,0,0,0,0,0
235,4495464,3823060,0,0,0,0,0,0
236,2727501,2143288,0,0,0,0,0,0
237,241836,4378772,0,0,0,0,0,0
238,372055,1594940,0,0,0,0,0,0
239,1758179,4399947,0,0,0,0,0,0
240,2900337,1575255,0,0,0,0,0,0
241,4336076,3226860,0,0,0,0,0,0
242,2136068,4044019,0,0,0,0,0,0
243,2885180,2012947,0,0,0,0,0,0
244,4630291,606812,0,0,0,0,0,0
245,398194,3457114,0,0,0,0,0,0
246,4140465,3863051,0,0,0,0,0,0
247,2022865,828210,0,0,0,0,0,0
248,1290131,3472991,0,0,0,0,0,0
249,647124,3581395,0,0,0,0,0,0
250,330105,1513215,0,0,0,0,0,0
251,2340388,2953658,0,0,0,0,0,0
252,2680973,3647733,0,0,0,0,0,0
253,899974,4672908,0,0,0,0,0,0
254,2394996,4538871,0,0,0,0,0,0
255,3705949,4312042,0,0,0,0,0,0
256,995981,829639,0,0,0,0,0,0
257,1447673,3478418,0,0,0,0,0,0
258,4492301,4322507,0,0,0,0,0,0
259,3592585,417504,0,0,0,0,0,0
260,1021681,3227052,0,0,0,0,0,0
261,2285768,991905,0,0,0,0,0,0
262,4736769,3010710,0,0,0,0,0,0
263,2366989,1858563,0,0,0,0,0,0
264,4346584,2579651,0,0,0,0,0,0
265,2745670,1959605,0,0,0,0,0,0
266,1151654,130013,0,0,0,0,0,0
267,4639930,4234986,0,0,0,0,0,0
268,2750496,3078512,0,0,0,0,0,0
269,3318372,1302273,0,0,0,0,0,0
270,4777295,1790614,0,0,0,0,0,0
271,1973972,1108375,0,0,0,0,0,0
272,3008273,4103699,0,0,0,0,0,0
273,105994,1846111,0,0,0,0,0,0
274,4149835,4034208,0,0,0,0,0,0
275,660790,2173977,0,0,0,0,0,0
276,1602783,2654328,0,0,0,0,0,0
277,2093871,2878679,0,0,0,0,0,0
278,2181932,2887121,0,0,0,0,0,0
279,1361741,2557706,0,0,0,0,0,0
280,142409,2989346,0,0,0,0,0,0
281,4119704,514415,0,0,0,0,0,0
282,206063,2025572,0,0,0,0,0,0
283,1893942,2740288,0,0,0,0,0,0
284,558220,523497,0,0,0,0,0,0
285,3766206,3650832,0,0,0,0,0,0
286,2758284,3427842,0,0,0,0,0,0
287,3210054,80809,0,0,0,0,0,0
288,3433326,2212419,0,0,0,0,0,0
289,4477046,4457175,0,0,0,0,0,0
290,1437099,26089,0,0,0,0,0,0
291,4198953,1159533,0,0,0,0,0,0
292,4311195,1242922,0,0,0,0,0,0
293,668130,2768668,0,0,0,0,0,0
294,1416366,4709438,0,0,0,0,0,0
295,3583422,869550,0,0,0,0,0,0
296,3837887,1258886,0,0,0,0,0,0
297,335953,2117896,0,0,0,0,0,0
298,3006184,2455635,0,0,0,0,0,0
299,1265078,3842962,0,0,0,0,0,0
300,1980928,4256698,0,0,0,0,0,0
301,2263579,4129822,0,0,0,0,0,0
302,3933565,293000,0,0,0,0,0,0
303,321290,3824515,0,0,0,0,0,0
304,3314047,1006763,0,0,0,0,0,0
305,173508,2290506,0,0,0,0,0,0
306,287507,2130035,0,0,0,0,0,0
307,2430830,1737263,0,0,0,0,0,0
308,4439855,4330711,0,0,0,0,0,0
309,973039,4748272,0,0,0,0,0,0
310,4469282,2964161,0,0,0,0,0,0
311,1363576,1283925,0,0,0,0,0,0
312,2773764,76270,0,0,0,0,0,0
313,429957,4738467,0,0,0,0,0,0
314,3615537,1426360,0,0,0,0,0,0
315,8495,1180769,0,0,0,0,0,0
316,3706832,1055688,0,0,0,0,0,0
317,2863419,78162,0,0,0,0,0,0
318,4029992,2160896,0,0,0,0,0,0
319,2337965,1458221,0,0,0,0,0,0
320,530889,1320381,0,0,0,0,0,0
321,2390441,114379,0,0,0,0,0,0
322,4423021,4651985,0,0,0,0,0,0
323,1593737,3621331,0,0,0,0,0,0
324,4725178,3222438,0,0,0,0,0,0
325,3027796,3893409,0,0,0,0,0,0
326,305086,4711030,0,0,0,0,0,0
327,131634,3038541,0,0,0,0,0,0
328,4438369,1329733,0,0,0,0,0,0
329,1631663,2973536,0,0,0,0,0,0
330,4169051,160570,0,0,0,0,0,0
331,2030711,2302443,0,0,0,0,0,0
332,653678,4807851,0,0,0,0,0,0
333,3759603,1985865,0,0,0,0,0,0
334,842397,1579402,0,0,0,0,0,0
335,547187,3579813,0,0,0,0,0,0
336,3311338,2280466,0,0,0,0,0,0
337,92018,2101833,0,0,0,0,0,0
338,1701106,3337814,0,0,0,0,0,0
339,3265365,322267,0,0,0,0,0,0
340,3903328,2974458,0,0,0,0,0,0
341,4771344,1063788,0,0,0,0,0,0
342,4734658,2334967,0,0,0,0,0,0
343,2752435,203853,0,0,0,0,0,0
344,3339443,3973892,0,0,0,0,0,0
345,4376275,1135314,0,0,0,0,0,0
346,3028466,37691,0,0,0,0,0,0
347,581945,1600323,0,0,0,0,0,0
348,3951892,361718,0,0,0,0,0,0
349,2638487,212982,0,0,0,0,0,0
350,1050846,2307560,0,0,0,0,0,0
351,1237231,3390703,0,0,0,0,0,0
352,1051784,1123705,0,0,0,0,0,0
353,4358789,364663,0,0,0,0,0,0
354,4655231,3248610,0,0,0,0,0,0
355,1511806,2891539,0,0,0,0,0,0
356,694568,677207,0,0,0,0,0,0
357,4695914,1463185,0,0,0,0,0,0
358,2227875,1691181,0,0,0,0,0,0
359,2189128,2750944,0,0,0,0,0,0
360,4340567,3829222,0,0,0,0,0,0
361,1301898,3765016,0,0,0,0,0,0
362,323809,1484498,0,0,0,0,0,0
363,4296833,283498,0,0,0,0,0,0
364,2002539,3847606,0,0,0,0,0,0
365,2798992,1131424,0,0,0,0,0,0
366,3997050,4663395,0,0,0,0,0,0
367,479530,4558728,0,0,0,0,0,0
368,691360,4342536,0,0,0,0,0,0
369,2880503,20640,0,0,0,0,0,0
370,670980,872258,0,0,0,0,0,0
371,3588084,2955475,0,0,0,0,0,0
372,4783806,3788132,0,0,0,0,0,0
373,2816956,3171442,0,0,0,0,0,0
374,996958,1141760,0,0,0,0,0,0
375,1531753,1049414,0,0,0,0,0,0
376,1621877,370269,0,0,0,0,0,0
377,3471510,520423,0,0,0,0,0,0
378,2610995,3267488,0,0,0,0,0,0
379,438145,1410639,0,0,0,0,0,0
380,3002145,649461,0,0,0,0,0,0
381,3424448,453038,0,0,0,0,0,0
382,2146042,2598311,0,0,0,0,0,0
383,4720569,3805390,0,0,0,0,0,0
384,3458008,1515538,0,0,0,0,0,0
385,257434,3806155,0,0,0,0,0,0
386,2999844,807866,0,0,0,0,0,0
387,1034865,219669,0,0,0,0,0,0
388,1485512,3387012,0,0,0,0,0,0
389,114475,2707870,0,0,0,0,0,0
390,674867,433891,0,0,0,0,0,0
391,4493053,3371659,0,0,0,0,0,0
392,4327389,802941,0,0,0,0,0,0
393,671864,2798548,0,0,0,0,0,0
394,3954243,277391,0,0,0,0,0,0
395,1294126,4333531,0,0,0,0,0,0
396,4599308,1232149,0,0,0,0,0,0
397,2756237,1426203,0,0,0,0,0,0
398,1998056,2953479,0,0,0,0,0,0
399,3529488,3883076,0,0,0,0,0,0
400,3047467,4742757,0,0,0,0,0,0
401,1360136,47287,0,0,0,0,0,0
402,211108,2712233,0,0,0,0,0,0
403,4278927,31011,0,0,0,0,0,0
404,320294,395986,0,0,0,0,0,0
405,1238952,1284732,0,0,0,0,0,0
406,3186616,221808,0,0,0,0,0,0
407,3512622,3659647,0,0,0,0,0,0
408,4765096,2792763,0,0,0,0,0,0
409,3358695,612773,0,0,0,0,0,0
410,1088821,3420526,0,0,0,0,0,0
411,809976,3620029,0,0,0,0,0,0
412,2013724,4036455,0,0,0,0,0,0
413,3330774,578962,0,0,0,0,0,0
414,2117022,2314209,0,0,0,0,0,0
415,4549478,182260,0,0,0,0,0,0
416,3980819,1988243,0,0,0,0,0,0
417,2697526,3278063,0,0,0,0,0,0
418,408673,1209697,0,0,0,0,0,0
419,3532020,3297630,0,0,0,0,0,0
420,3864517,3875432,0,0,0,0,0,0
421,1353745,1422781,0,0,0,0,0,0
422,3448524,1333866,0,0,0,0,0,0
423,2897599,1196998,0,0,0,0,0,0
424,2999944,3965113,0,0,0,0,0,0
425,4351315,452189,0,0,0,0,0,0
426,1483926,2723539,0,0,0,0,0,0
427,2483385,3188622,0,0,0,0,0,0
428,292770,3443917,0,0,0,0,0,0
429,1390479,261941,0,0,0,0,0,0
430,3611945,4837678,0,0,0,0,0,0
431,3341999,3888281,0,0,0,0,0,0
432,1914695,249330,0,0,0,0,0,0
433,4135936,2994515,0,0,0,0,0,0
434,2416250,2811627,0,0,0,0,0,0
435,993861,3429833,0,0,0,0,0,0
436,2872876,4207402,0,0,0,0,0,0
437,2783254,4472230,0,0,0,0,0,0
438,1212829,3155282,0,0,0,0,0,0
439,1967434,3175646,0,0,0,0,0,0
440,2906872,3273780,0,0,0,0,0,0
441,3953326,4291162,0,0,0,0,0,0
442,41249,4337916,0,0,0,0,0,0
443,4307148,932687,0,0,0,0,0,0
444,2237067,1414631,0,0,0,0,0,0
445,4261346,1409297,0,0,0,0,0,0
446,3256608,1437262,0,0,0,0,0,0
447,728089,3398965,0,0,0,0,0,0
448,4251305,3821219,0,0,0,0,0,0
449,328045,4026055,0,0,0,0,0,0
450,3965116,2225556,0,0,0,0,0,0
451,1518492,1927455,0,0,0,0,0,0
452,1338316,2537164,0,0,0,0,0,0
453,1204929,3832930,0,0,0,0,0,0
454,4748960,3439181,0,0,0,0,0,0
455,4665243,773777,0,0,0,0,0,0
456,2227398,4045757,0,0,0,0,0,0
457,2488847,1183391,0,0,0,0,0,0
458,3015392,789776,0,0,0,0,0,0
459,1147635,4686923,0,0,0,0,0,0
460,1665163,59183,0,0,0,0,0,0
461,4683167,4113314,0,0,0,0,0,0
462,897954,3967493,0,0,0,0,0,0
463,43156,2027434,0,0,0,0,0,0
464,2613013,2302310,0,0,0,0,0,0
465,1884216,75263,0,0,0,0,0,0
466,4157649,2976824,0,0,0,0,0,0
467,768950,650132,0,0,0,0,0,0
468,3542452,1897981,0,0,0,0,0,0
469,1220347,1943043,0,0,0,0,0,0
470,4035923,3012919,0,0,0,0,0,0
471,2373125,3224076,0,0,0,0,0,0
472,1085226,1002101,0,0,0,0,0,0
473,3365447,2978450,0,0,0,0,0,0
474,4196426,3950771,0,0,0,0,0,0
475,1918034,3136822,0,0,0,0,0,0
476,2327099,3013305,0,0,0,0,0,0
477,3741210,1294078,0,0,0,0,0,0
478,2885811,2042894,0,0,0,0,0,0
479,922536,3220442,0,0,0,0,0,0
480,3260793,3899179,0,0,0,0,0,0
481,4747063,1850991,0,0,0,0,0,0
482,2610581,4082551,0,0,0,0,0,0
483,1951663,2638418,0,0,0,0,0,0
484,4344612,13767,0,0,0,0,0,0
485,770873,3957460,0,0,0,0,0,0
486,2660407,3307363,0,0,0,0,0,0
487,1907386,3618436,0,0,0,0,0,0
488,407935,4826659,0,0,0,0,0,0
489,339201,3409992,0,0,0,0,0,0
490,784151,2210084,0,0,0,0,0,0
491,1680251,2741494,0,0,0,0,0,0
492,237083,1960700,0,0,0,0,0,0
493,3210084,4484356,0,0,0,0,0,0
494,37805,1087634,0,0,0,0,0,0
495,1658474,12542,0,0,0,0,0,0
496,3102,3655868,0,0,0,0,0,0
497,1762476,3198112,0,0,0,0,0,0
498,345572,2259200,0,0,0,0,0,0
499,239517,2911423,0,0,0,0,0,0
500,868114,2289008,0,0,0,0,0,0
501,202431,1190320,0,0,0,0,0,0
502,1140047,3178518,0,0,0,0,0,0
503,1737186,4808147,0,0,0,0,0,0
504,2680470,1691613,0,0,0,0,0,0
505,4197408,1009498,0,0,0,0,0,0
506,4694249,885253,0,0,0,0,0,0
507,3981325,1044777,0,0,0,0,0,0
508,4269775,3755500,0,0,0,0,0,0
509,3164454,658924,0,0,0,0,0,0
510,2815160,1959257,0,0,0,0,0,0
511,3806764,2084318,0,0,0,0,0,0
512,3441693,200619,0,0,0,0,0,0
513,4634402,3396213,0,0,0,0,0,0
514,3741982,1878909,0,0,0,0,0,0
515,3602814,2022153,0,0,0,0,0,0
516,2124136,4003312,0,0,0,0,0,0
517,3985391,1182729,0,0,0,0,0,0
518,2378348,3019707,0,0,0,0,0,0
519,4382042,734477,0,0,0,0,0,0
520,4343662,1029751,0,0,0,0,0,0
521,494902,1301135,0,0,0,0,0,0
522,3930908,1573970,0,0,0,0,0,0
523,4553150,3641005,0,0,0,0,0,0
524,365256,522314,0,0,0,0,0,0
525,1125494,2037171,0,0,0,0,0,0
526,3717992,1879032,0,0,0,0,0,0
527,914812,4326188,0,0,0,0,0,0
528,3569583,2402433,0,0,0,0,0,0
529,1611839,1369115,0,0,0,0,0,0
530,3125916,4675545,0,0,0,0,0,0
531,2990823,3675437,0,0,0,0,0,0
532,3278417,3681750,0,0,0,0,0,0
533,564748,1229642,0,0,0,0,0,0
534,1306695,3305581,0,0,0,0,0,0
535,3891299,4534845,0,0,0,0,0,0
536,1761775,3085970,0,0,0,0,0,0
537,4778249,3451066,0,0,0,0,0,0
538,34734,1144051,0,0,0,0,0,0
539,2588991,3188924,0,0,0,0,0,0
540,4562688,4506378,0,0,0,0,0,0
541,554027,656690,0,0,0,0,0,0
542,1710911,3517707,0,0,0,0,0,0
543,3019995,2617947,0,0,0,0,0,0
544,702237,194908,0,0,0,0,0,0
545,2005889,233947,0,0,0,0,0,0
546,1286640,3907009,0,0,0,0,0,0
547,2167557,924302,0,0,0,0,0,0
548,1841538,3210466,0,0,0,0,0,0
549,3221739,4251456,0,0,0,0,0,0
550,2850222,1915173,0,0,0,0,0,0
551,2213604,746394,0,0,0,0,0,0
552,978094,3642745,0,0,0,0,0,0
553,261071,997455,0,0,0,0,0,0
554,968293,2884180,0,0,0,0,0,0
555,1590007,4544262,0,0,0,0,0,0
556,2841600,4323421,0,0,0,0,0,0
557,1354117,4156175,0,0,0,0,0,0
558,567612,2109930,0,0,0,0,0,0
559,4785736,874014,0,0,0,0,0,0
560,4367956,629834,0,0,0,0,0,0
561,1075936,4070760,0,0,0,0,0,0
562,1873944,2913538,0,0,0,0,0,0
563,812150,4679076,0,0,0,0,0,0
564,1820036,1486386,0,0,0,0,0,0
565,1930669,3347328,0,0,0,0,0,0
566,1689509,3682467,0,0,0,0,0,0
567,2922724,1325077,0,0,0,0,0,0
568,4590896,1684371,0,0,0,0,0,0
569,1812510,3906825,0,0,0,0,0,0
570,2711769,294515,0,0,0,0,0,0
571,709417,118448,0,0,0,0,0,0
572,1396557,2309429,0,0,0,0,0,0
573,3767236,745818,0,0,0,0,0,0
574,3478066,4217197,0,0,0,0,0,0
575,4461916,3432415,0,0,0,0,0,0
576,3883577,2719004,0,0,0,0,0,0
577,2021989,3665455,0,0,0,0,0,0
578,192143,68962,0,0,0,0,0,0
579,2258998,638991,0,0,0,0,0,0
580,2177446,470498,0,0,0,0,0,0
581,3259931,3511437,0,0,0,0,0,0
582,2356159,1891126,0,0,0,0,0,0
583,2126243,2623524,0,0,0,0,0,0
584,4469407,4106207,0,0,0,0,0,0
585,3764905,1030824,0,0,0,0,0,0
586,3553870,3141289,0,0,0,0,0,0
587,430203,1937871,0,0,0,0,0,0
588,4004049,3218714,0,0,0,0,0,0
589,680325,2586186,0,0,0,0,0,0
590,4408079,3472083,0,0,0,0,0,0
591,2068073,4192904,0,0,0,0,0,0
592,2362993,2252770,0,0,0,0,0,0
593,3390815,3619721,0,0,0,0,0,0
594,3948696,489517,0,0,0,0,0,0
595,2090585,1267941,0,0,0,0,0,0
596,1856470,2523621,0,0,0,0,0,0
597,2041353,4697389,0,0,0,0,0,0
598,2079982,4395758,0,0,0,0,0,0
599,2511439,176452,0,0,0,0,0,0
600,3866125,1675918,0,0,0,0,0,0
601,523167,3456450,0,0,0,0,0,0
602,1782491,3228001,0,0,0,0,0,0
603,4472956,4413512,0,0,0,0,0,0
604,4137113,864327,0,0,0,0,0,0
605,1063435,721094,0,0,0,0,0,0
606,2038682,3320775,0,0,0,0,0,0
607,642862,1323009,0,0,0,0,0,0
608,2035668,1760742,0,0,0,0,0,0
609,380389,450134,0,0,0,0,0,0
610,3779997,1128175,0,0,0,0,0,0
611,113177,1239297,0,0,0,0,0,0
612,2946084,3002949,0,0,0,0,0,0
613,3078835,2494380,0,0,0,0,0,0
614,1120866,188760,0,0,0,0,0,0
615,4021905,1674428,0,0,0,0,0,0
616,3972232,2528491,0,0,0,0,0,0
617,3694111,1168719,0,0,0,0,0,0
618,3988293,2482190,0,0,0,0,0,0
619,3193592,3320729,0,0,0,0,0,0
620,4737129,1973343,0,0,0,0,0,0
621,1583852,3618207,0,0,0,0,0,0
622,1815168,2224300,0,0,0,0,0,0
623,4275312,1176630,0,0,0,0,0,0
624,4340126,4460489,0,0,0,0,0,0
625,3635819,2530433,0,0,0,0,0,0
626,1816828,1551918,0,0,0,0,0,0
627,1456148,3023087,0,0,0,0,0,0
628,138329,173232,0,0,0,0,0,0
629,1404908,2603845,0,0,0,0,0,0
630,4192680,3047396,0,0,0,0,0,0
631,2975590,736616,0,0,0,0,0,0
632,119732,4460167,0,0,0,0,0,0
633,2286255,2959405,0,0,0,0,0,0
634,1749988,3220822,0,0,0,0,0,0
635,2782861,1585990,0,0,0,0,0,0
636,2301729,4077253,0,0,0,0,0,0
637,2261355,653476,0,0,0,0,0,0
638,3847504,1338645,0,0,0,0,0,0
639,903238,4298575,0,0,0,0,0,0
640,3533939,1334176,0,0,0,0,0,0
641,943089,934804,0,0,0,0,0,0
